NO ,RUTE / TRAYEK ,RUTE YANG DILEWATI (TITIK KEBERANGKATAN - PERJALANAN - TITIK DROP),TARIF BARU ,MENUJU BANDARA (WIB),DARI BANDARA (WIB) ,INTERVAL WAKTU (MENIT)
1,POOL DAMRI CIPUTAT,"Berangkakt : Pool Damri Ciputat - Jl. RE Martadinata - Tol Serpong Cinere - Tol Kunciran Serpong - Tol Batuceper - Tol Cengkareng
Pulang : Bandara Soetta Tol Cengkareng - Tol Batuceper - Tol Kunciran Serpong - Tol Serpong Cinere - Jl. RE Martadinata - Pool Damri Ciputat",90.000,05.00 - 19.00,07.00 - 21.00 ,60
2,STASIUN KCIC HALIM,"Berangkat : St.KCIC Halim - Tol Kebon Nanas - Tol Sediatmo - Tol Cengkareng - Basoetta
Pulang : Basoetta - Tol Cengkareng- Tol Sediatmo- Tol Kebon Nanas - St. KCIC Halim",80.000,17.30 - 21.30,07.00 - 19.30,60
3,STASIUN GAMBIR,"Bearangkat : St. Gambir - PRJ - Tol Kemayoran - Tol Soediatmo - Tol Cengkareng - Bandara Soekarno- Hatta
Pulang : Bandara Soekarno-Hatta - Tol Soediatmo -  Tol Dalam Kota -  Slipi Jaya -  Jatibaru -  St. Gambir",80.000,13.00 - 20.00,06.00 - 23.00,30
4,POOL DAMRI KEMAYORAN ,"Berangkat : Pool Damri Kemayoran - PRJ - Tol Ancol - Tol Soediyatmo - Tol Cengkareng - Bandara Soekarno-Hatta
Pulang : Bandara Soekarno Hatta -  Tol Soediyatmo -  Kemayoran -  PRJ - Jl Angkasa - PooL Damri Kemayoran",80.000,05.00 - 18.00,07.00 - 20.00,60
5,TERM. BLOK M,"Berangkat : Terminal Blok M - Jl Jend. Sudirman - Semanggi - Tol Dalam Kota (senayan) - Tol Soediyatmo - Tol Cengkareng - Bandara Soekarno-Hatta
Pulang : Bandara Soekarno Hatta - Tol Soediyatmo - Tol Dalam Kota - Slipi Jaya - Semanggi - Terminal Blok M",80.000,04.00 - 18.00,06.00 - 23.00,60
6,TERM. LEBAK BULUS ,"Berangkat : Terminal Lb Bulus - Pd Pinang - Tol Jorr - Tol Soediatmo - Tol Cengkareng - Basoetta
Pulang : Basoetta - Tol Soediatmo -  Tol Kamal 3 - Tol Jorr -  Pd Pinang -  Terminal Lb Bulus",90.000,03.00 - 18.00,06.00 - 23.00,60
7,TERM. PASAR MINGGU ,"Berangkat : Terminal Ps Minggu - Jl Raya Ps Minggu - Kalibata - Pancoran - Tol Dalam Kota - Tol Sodiatmo - Tol Cengkareng - Basoetta
Pulang : Basoetta - Tol Soediatmo - Tol Dalam Kota - Pancoran -  Kalibata -  Jl Raya Ps. Minggu -  Terminal Ps Minggu",95.000,04.00 - 18.00,06.00 - 23.00,60
8,TERM. RAWAMANGUN ,"Berangkat : Terminal Rw Mangun - Arion - Jl Pemuda - Tol Wiyoto Wiyono - Tol Soediatmo - Tol Cengkareng - Bandara Soekarno-Hatta
Pulang : Bandara Soekarno-Hatta - Tol Soediatmo -  Tol Pelabuhan Tj Priok - Rawasari - Jl Pemuda -  Arion -  Teminal Rw.Mangun",80.000,04.00 - 19.00,06.00 - 23.00,60
9,TERM. KAMPUNG RAMBUTAN ,"Berangkat : Terminal Kp Rambutan - Tol Jorr - Tol Soediatmo - Tol Cengkareng - Bandara Soekarno Hatta
Pulang : Bandara Soetta -  Tol Soediatmo - Tol Dalam Kota -  Tol Jagorawi -  TMII (Garuda) - Ps. Rebo -  Terminal Kp Rambutan
",95.000,03.00 - 19.00,06.00 - 23.00,60
10,TERM. TANJUNG PRIOK,"Berangkat : Terminal Tj Priok - Tol Kemayoran - Tol Soediatmo - Tol Cengkareng - Basoetta
Pulang : Basoetta -  Tol Soediatmo -  Tol Tj Priok - Plumpang - Semper - Terminal Tj Priok",80.000,05.00 - 18.00,06.00 - 23.00,60
